generation,best_fitness,best_alpha,best_alpha_s,best_alpha_w
55,0.9999999931661218,0.011434117247270933,1.5664473278104614,0.000005806570453945853
56,0.9999999990826156,0.011084673578570034,1.5186097763269808,0.0000046992492699740275
57,0.999999985853714,0.012051684907918222,1.6511213752074059,0.0000052474510691462085
58,0.999999995760224,0.010555118327468143,1.4460317716109519,0.000005385182202263027
59,0.9999999998335605,0.013215525537579507,1.8105318209861663,0.000004473367041316191
60,0.9999999963617574,0.011944820156386274,1.636419983008274,0.00000518055043704088
61,0.9999999999485952,0.013132270024864308,1.7991236565010098,0.000004907799245017505
62,0.9999999336653483,0.012760729576877622,1.7481269931843957,0.000005515406327245296
63,0.9999999915289033,0.010786632827875793,1.477796777652246,0.000005628565546672871
64,0.9999999969125931,0.013176426143276986,1.8051496735621004,0.000004344029043875839
65,0.9999999442214821,0.01390530306354162,1.904933631848178,0.0000046732630457298005
66,0.9999999999729965,0.011855882399394939,1.6242541461520164,0.000004669010060107556
67,0.999999999955462,0.013493175881861984,1.8485625488388742,0.000004506314169275491
68,0.999999999246423,0.012967918779176978,1.7765948039153758,0.0000035731284020602004
69,0.9999999529816899,0.013043325395621528,1.786855583464685,0.000005045263914791459
70,0.9999999982856038,0.010325594601790344,1.4146185529332502,0.000005533547687116224
71,0.9999999405262157,0.012386763161888059,1.6969011123167632,0.000004545571196865853
72,0.9999999896723614,0.014136023359384199,1.9366758326628692,0.000004924329868560568
73,0.9999999767282776,0.01043811522832895,1.4300668245144361,0.000004571244277441402
74,0.9999999231736708,0.014535316172184795,1.991452268264739,0.000004769528473258602
75,0.9999998804323159,0.013939654289830255,1.909596303787913,0.000004363580935671612
76,0.9999998837595012,0.011366627838242232,1.5573376251519653,0.0000041205770399567155
77,0.9999999998659639,0.01430649002855553,1.959993818690002,0.000004358004551915277
78,0.9999999958464628,0.01157546516409038,1.5858598279682272,0.000005182336047115588
79,0.9999999739041113,0.014724775794577448,2.017361562888894,0.0000046187037792349565
80,0.9999999841936391,0.013036798423473734,1.786087742784604,0.000004895088321341478
81,0.9999999985484744,0.012373868563748551,1.6952066591603865,0.0000050810489489945965
82,0.9999999908804729,0.014829058619630704,2.0316210847826404,0.0000046517239446410814
