alpha,mass_up_quark,mass_down_quark,fitness
0.007268,4.202157066861279e-30,8.737589064685918e-30,0.999893
0.007269,3.363040865419913e-30,1.0242094743064144e-29,0.999900
0.007290,4.234425214815307e-30,9.194745459833139e-30,0.999992
0.007290,3.921514147697185e-30,7.207635254647213e-30,0.999994
0.007291,3.2126551611266956e-30,7.406688367395255e-30,0.999995
0.007288,3.4934930146004805e-30,8.671269024319285e-30,0.999989
0.007312,4.578188342639787e-30,7.992232432599306e-30,0.999973
0.007300,4.543149049920408e-30,7.748842440522617e-30,0.999999
0.007303,4.36866301377839e-30,8.189009254374703e-30,0.999996
0.007295,4.599044138088475e-30,8.993571501781556e-30,0.999999
0.007270,4.1326347261530696e-30,8.7105893501156e-30,0.999907
0.007306,4.160830460348206e-30,9.009524617286828e-30,0.999990
0.007302,3.983809910075386e-30,8.520503724173095e-30,0.999997
0.007311,4.07118455512288e-30,7.422261330137207e-30,0.999976
0.007319,3.791441607684481e-30,6.446148038579273e-30,0.999940
0.007278,3.859978666650698e-30,9.329513667993551e-30,0.999952
0.007292,3.9379412320959125e-30,8.737712977676104e-30,0.999996
0.007303,4.139597549591362e-30,7.89823870894896e-30,0.999997
0.007304,3.615515003446345e-30,8.396477992346658e-30,0.999994
0.007277,4.165630284737876e-30,9.41645729947769e-30,0.999946
0.007304,4.147073193399871e-30,8.612610653877236e-30,0.999995
0.007314,4.381526352612812e-30,8.371895038336154e-30,0.999967
0.007286,4.2534193210360754e-30,8.049975967634845e-30,0.999982
0.007313,4.032452775399872e-30,8.625621634097243e-30,0.999970
0.007310,3.906209456400962e-30,8.305469693553872e-30,0.999980
0.007295,4.099377136826714e-30,9.847382505857933e-30,1.000000
0.007282,3.752310850716998e-30,8.926495782314133e-30,0.999969
0.007276,3.973444447342648e-30,8.352106742128695e-30,0.999941
0.007290,3.5951527552391785e-30,8.331345361928396e-30,0.999993
0.007313,3.900541896265671e-30,8.95786478767681e-30,0.999968
0.007289,4.267954788264161e-30,8.163318567444507e-30,0.999991
